"show_1","show_2","distance"
"Sword Art Online","No Game, No Life","0.27271155979145"
"No Game, No Life","Sword Art Online","0.27271155979145"
"Sword Art Online","Code Geass: Lelouch of the Rebellion R2","0.403109012419986"
"Code Geass: Lelouch of the Rebellion R2","Sword Art Online","0.403109012419986"
"Sword Art Online","Death Note","0.356191620996299"
"Death Note","Sword Art Online","0.356191620996299"
"Sword Art Online","Attack on Titan","0.229213303505991"
"Attack on Titan","Sword Art Online","0.229213303505991"
"Sword Art Online","Soul Eater","0.468024587458234"
"Soul Eater","Sword Art Online","0.468024587458234"
"Sword Art Online","Elfen Lied","0.425827377035914"
"Elfen Lied","Sword Art Online","0.425827377035914"
"Sword Art Online","One Punch Man","0.336760413833321"
"One Punch Man","Sword Art Online","0.336760413833321"
"Sword Art Online","The Future Diary","0.298829588320513"
"The Future Diary","Sword Art Online","0.298829588320513"
"Sword Art Online","Fullmetal Alchemist","0.49657262605271"
"Fullmetal Alchemist","Sword Art Online","0.49657262605271"
"Sword Art Online","Gurren Lagann","0.463991579405247"
"Gurren Lagann","Sword Art Online","0.463991579405247"
"Sword Art Online","Angel Beats!","0.290330674431598"
"Angel Beats!","Sword Art Online","0.290330674431598"
"Sword Art Online","Code Geass: Lelouch of the Rebellion","0.385263859956765"
"Code Geass: Lelouch of the Rebellion","Sword Art Online","0.385263859956765"
"Noragami: Stray God","No Game, No Life","0.32010411215375"
"No Game, No Life","Noragami: Stray God","0.32010411215375"
"Noragami: Stray God","Code Geass: Lelouch of the Rebellion R2","0.506148377498802"
"Code Geass: Lelouch of the Rebellion R2","Noragami: Stray God","0.506148377498802"
"Noragami: Stray God","Death Note","0.468355206091107"
"Death Note","Noragami: Stray God","0.468355206091107"
"Noragami: Stray God","Attack on Titan","0.323132870357012"
"Attack on Titan","Noragami: Stray God","0.323132870357012"
"Noragami: Stray God","Soul Eater","0.539027764427524"
"Soul Eater","Noragami: Stray God","0.539027764427524"
"Noragami: Stray God","Elfen Lied","0.540241580878324"
"Elfen Lied","Noragami: Stray God","0.540241580878324"
"Noragami: Stray God","One Punch Man","0.352157358959054"
"One Punch Man","Noragami: Stray God","0.352157358959054"
"Noragami: Stray God","The Future Diary","0.386557364298855"
"The Future Diary","Noragami: Stray God","0.386557364298855"
"Noragami: Stray God","Fullmetal Alchemist","0.597413949445289"
"Fullmetal Alchemist","Noragami: Stray God","0.597413949445289"
"Noragami: Stray God","Gurren Lagann","0.560629721759484"
"Gurren Lagann","Noragami: Stray God","0.560629721759484"
"Noragami: Stray God","Angel Beats!","0.407776405646656"
"Angel Beats!","Noragami: Stray God","0.407776405646656"
"Noragami: Stray God","Code Geass: Lelouch of the Rebellion","0.492247448570861"
"Code Geass: Lelouch of the Rebellion","Noragami: Stray God","0.492247448570861"
"No Game, No Life","Code Geass: Lelouch of the Rebellion R2","0.466578579323268"
"Code Geass: Lelouch of the Rebellion R2","No Game, No Life","0.466578579323268"
"No Game, No Life","Death Note","0.445408283385836"
"Death Note","No Game, No Life","0.445408283385836"
"No Game, No Life","Attack on Titan","0.304336205750625"
"Attack on Titan","No Game, No Life","0.304336205750625"
"No Game, No Life","Soul Eater","0.536394427688541"
"Soul Eater","No Game, No Life","0.536394427688541"
"No Game, No Life","Elfen Lied","0.499036192945968"
"Elfen Lied","No Game, No Life","0.499036192945968"
"No Game, No Life","One Punch Man","0.312648472709005"
"One Punch Man","No Game, No Life","0.312648472709005"
"No Game, No Life","The Future Diary","0.350419658415176"
"The Future Diary","No Game, No Life","0.350419658415176"
"No Game, No Life","Fullmetal Alchemist","0.582786612728568"
